Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cl. 59 Sur # 60-63,Madelena,4.58799689780597,-74.1564824554867,VIS,134,Ciudad Bolívar,51038,Torres de San Rafael
Cr. 78 # 11C-21,Castilla,4.64694227747579,-74.1349714084872,No VIS,6,Kennedy,51045,Bosques de Alsacia
Cr. 33 0 # 41A-88 Sur,Ingles,4.58718622884011,-74.1270126382415,No VIS,6,Rafael Uribe Uribe,51046,Balcones de Centro Mayor ..
Dg. 49C Sur # 11-60,Molinos,4.56146476010491,-74.1205306662015,VIS,86,Rafael Uribe Uribe,51052,Terrazas de Molinos
Dg. 47 Sur # 12A-01,Sevilla,4.56442275980494,-74.1137712665702,VIS,307,Rafael Uribe Uribe,51055,Torres del 20 de Julio
Cl. 101A Sur # 14-05,Monte Blanco,4.49629437172735,-74.118467329606,VIS,218,Usme,51058,Mirador de Bella Flora
Dg. 68A Sur # 14R-65,La Aurora,4.52500914084109,-74.1229994999468,VIS,8,Usme,51061,Sue
Dg. 42C Sur # 24B-10,El Ingles,4.58053713884806,-74.1249476305231,No VIS,3,Rafael Uribe Uribe,51066,Multi. Familiar Ingles
Cl. 34 Sur # 52G-44,El Ingles,4.60371416915979,-74.1284073851355,No VIS,1,Puente Aranda,51068,Mult. Alcala
Cl. 18 Sur # 19-70,Santander,4.5925226795676,-74.1081454895061,No VIS,44,Antonio Nariño,51074,Sorrento
Cr. 11 Este # 68-61 Sur,Juan Rey,4.52890147526965,-74.0930694300747,VIS,4,San Cristóbal,51076,Reserva del Nogal
Cr. 12 Este # 64A-49 Sur,Juan Rey,4.52648306442005,-74.089835454935,VIS,2,San Cristóbal,51077,Reserva del Roble
Cr. 81 # 65G-43 Sur,Bosa Centro,4.61064430122822,-74.1883212907074,VIS,46,Bosa,51078,Torrevento
Av. Cr. 68 # 1-63,Trinidad Galan,4.62512625072064,-74.1253529967444,No VIS,9,Kennedy,55250,Americas 68 Eta. II
Av. Cr. 72 # 67-75,Boyaca Real,4.68296791465499,-74.0987492658353,No VIS,30,Engativá,55283,Reserva 67
Cr. 123A # 78B-21,Gran Granada,4.7234772592767,-74.1316446461665,No VIS,80,Engativá,55300,Parques de San Jerónimo
Cl. 77B # 120A-48,Villas de Granada,4.72319196833427,-74.1328909980402,No VIS,54,Engativá,55301,Oeste
Cr. 87B # 8A-72,El Tintal,4.64880000054836,-74.148199999705,No VIS,61,Kennedy,55338,Castellon de los Condes
Cl. 10B # 81F-20,Castilla,4.6402000002563,-74.1448999997228,No VIS,12,Kennedy,55930,Castilla La Nueva
Cr. 105 # 16I-45,EL Carmen,4.67580031073814,-74.1493286165512,No VIS,6,Fontibón,55947,Arrayanes de Fontibón
Cr. 123A # 77B-86,Gran Granada,4.7234772592767,-74.1316446461665,No VIS,13,Engativá,55949,Alameda de San Diego
Cr. 80 # 8-45,Castilla,4.64240325554852,-74.1462650305902,No VIS,43,Kennedy,55950,Camino de San Gabriel
Cr. 88 # 8F-90,El Tintal,4.64880000054836,-74.148199999705,No VIS,73,Kennedy,55956,Malaga
Cr. 96G # 22M-64,EL Carmen,4.67528339684695,-74.1350325808452,No VIS,15,Fontibón,55976,Hayuelos R9
Cl. 6C # 82A-21,Castilla,4.64165828564095,-74.1542318043073,No VIS,92,Kennedy,55981,Cipres de Castilla
Cl. 6C # 82A-91,Castilla,4.64165828564095,-74.1542318043073,No VIS,134,Kennedy,55986,Aralia de Castilla
Cl. 17 # 96-20,Villamar,4.66530000045896,-74.1403000000864,No VIS,106,Fontibón,55987,Toscana Torres de Hayuelos
Av. Cr. 86 # 13B-80,Andalucia,4.6546927040988,-74.1401432547112,No VIS,5,Kennedy,55992,Canela
Cl. 25B # 71-80,Ciudad Salitre,4.66415557067871,-74.1118738874769,No VIS,70,Fontibón,56000,Gran Reserva de Oporto
Cr. 88 # 8F-90,El Tintal,4.64880000054836,-74.148199999705,No VIS,147,Kennedy,56003,Paseo de Sevilla
Cr. 86 # 7D-35,El Tintal,4.649299999699,-74.149299999699,No VIS,118,Kennedy,56019,Castilla Imperial
Av. Cr. 86 # 10-50,Castilla,4.64887782696101,-74.1448154715521,No VIS,77,Kennedy,56023,Casteló Natura Aptos
Cr. 96B # 17B-60,Villamar,4.66805718352035,-74.1396350708344,No VIS,9,Fontibón,56024,Hayuelos Park
Av. Cr. 70 # 25-49,Ciudad Salitre,4.66415557067871,-74.1118738874769,No VIS,42,Fontibón,56025,Gran Reserva de Valdivia
Cr. 84 # 77A-40,La Granja,4.69951011192326,-74.1007492722662,VIS,26,Engativá,56041,Eka Apartaestudios
Av. Cl. 13 # 68F-25,Alsacia,4.63903351937635,-74.1248392542005,No VIS,15,Kennedy,56049,La Rioja Alsacia Reservado
Av. Cr. 72 # 24C-00,Modelia,4.66310000047088,-74.1147999996319,No VIS,2,Fontibón,56050,Moncalieri
Cl. 42G Sur # 74-30,Timiza,4.61124114571573,-74.1583392051066,VIS,206,Kennedy,56054,Torres de Timiza
Cr. 68 # 5-21,Trinidad Galan,4.62698450597917,-74.1248318443244,No VIS,10,Kennedy,56055,Porto Américas
Cl. 24 # 68B-85,Ciudad Salitre,4.65209331629005,-74.1102506582508,No VIS,10,Fontibón,56062,Avatar
Cl. 59C Sur # 88H-15,Bosa la Libertad,4.62611764347452,-74.1923980547701,VIS,188,Bosa,56066,Atalaia
Cl. 2 # 93D-54,Tierra Buena,4.65208886825267,-74.1704490285031,VIS,199,Kennedy,56073,Parque Central Tintal III
Av. Cr. 72 # 72-15,Santa Maria del Lago,4.68809750098778,-74.0950491434954,No VIS,59,Engativá,56074,Allegro Reservado
Cl. 72F # 114A-71,Villas de Granada,4.71519999951124,-74.1279999995604,No VIS,27,Engativá,56076,Sabana de los Cerezos
Cr. 88 # 8F-90,El Tintal,4.64880000054836,-74.148199999705,No VIS,81,Kennedy,56084,Aragón Castilla Reservado
Av. Cl. 13 # 68F-25,Alsacia,4.63903351937635,-74.1248392542005,No VIS,95,Kennedy,56086,La Ribera Alsacia Reservado
Cl. 77B # 129-70,El Porvenir,4.72000000067055,-74.1229999996722,No VIS,76,Engativá,56091,Ciud. Parq. Ctral de Occidente III
Cr. 88 # 8F-90,El Tintal,4.64880000054836,-74.148199999705,No VIS,68,Kennedy,56093,Burgos Castilla Reservado
Cl. 13A # 82B-31,Villas Alsacia,4.65280797963801,-74.1407262458904,No VIS,51,Kennedy,56095,Pinares de Alsacia
Cl. 59B Sur # 86A-15,Bosa la Libertad,4.62061638468873,-74.2177238687504,VIS,74,Bosa,56102,Urb. Torres Altamira
Cl. 24 # 86-08,Modelia,4.6722999997437,-74.1254000002518,No VIS,17,Fontibón,56106,Reserva de Modelia
Cr. 87C # 87B-38 Sur,San Bernardino,4.63690000027418,-74.1646999996156,VIS,2,Kennedy,56107,Portales de Avanza I
Cr. 45A # 91-56,Castellana,4.67864816767955,-74.0601878490068,No VIS,32,Barrios Unidos,56111,Paralela 91 +
Cl. 58 # 21-26,San Luis,4.64603298788325,-74.0714744357837,No VIS,1,Teusaquillo,56112,Inhaus
Cl. 17DBis # 123A-05,Fontibon,4.68851208882714,-74.158277305025,VIS,100,Fontibón,56113,Aragón
Cr. 7 # 31A-56,San Martin,4.64200142418481,-74.0645335023669,No VIS,51,Chapinero,56116,Equilibrium 2
Av. Cl. 80 # 116B-100,Gran Granada,4.72291523745774,-74.1247888569431,No VIS,5,Engativá,56120,Brisas de Granada II
Dg. 82G # 75-41,Minuto,4.70441017883702,-74.0930933741881,No VIS,8,Engativá,56121,Elite Minuto
Cr. 116 # 77B-35,Villas de Granada,4.72291523745774,-74.1247888569431,No VIS,79,Engativá,56122,Altos de Granada
Dg. 77B # 123-20,Villas de Granada,4.72140000015497,-74.1212999997661,No VIS,95,Engativá,56123,Ciprés de la Florida
Av. Cl. 17 # 72-85,El Vergel,4.65130582109726,-74.130801882255,No VIS,131,Fontibón,56125,Zentral - Izola
Cl. 61 # 37-91,Nicolas de Federman,4.65148834746025,-74.0825053553922,No VIS,3,Teusaquillo,56127,Edificio Daned
Cl. 52 # 17-28,Teusaquillo,4.64015945341299,-74.069779064209,No VIS,6,Teusaquillo,56131,K52
Cr. 93 # 54-28 Sur,Bosa Porvenir,4.63461793898381,-74.1868946706877,VIS,112,Bosa,56135,Valenti
Dg. 77B # 124-40,Villas de Granada,4.7196315082803,-74.1327436308709,No VIS,11,Engativá,56136,Reserva de Granada IV
Cl. 33 # 6-37,Centro,4.61898762815001,-74.0664618173548,No VIS,14,Santa Fe,56137,Urban
Cr. 35Bis # 60-45,Nicolas de Federman,4.65080000087619,-74.0793000003323,No VIS,7,Teusaquillo,56139,Edificio Rumiraky
Av. Cr. 68 # 19-52,Puente Aranda,4.64409999921918,-74.1112000001594,No VIS,84,Puente Aranda,56140,Urban Salitre - Zurich
Cl. 17 # 135-20,Florencia,4.69329999946058,-74.1676000002772,VIS,23,Fontibón,56141,Mirador de Fontibón
Cl. 17 # 110-68,Fontibon,4.67950000055134,-74.1514999996871,No VIS,78,Fontibón,56142,Altana
Cr. 96B # 18-31,Villamar,4.6687000002712,-74.1392000000924,No VIS,31,Fontibón,56143,Tintoretto
Av. Cl. 17 # 72-85,El Vergel,4.65130582109726,-74.130801882255,No VIS,259,Fontibón,56144,Zentral - Zajari
Cr. 26 # 49-49,Palermo,4.63866108478335,-74.0761191153505,No VIS,6,Teusaquillo,56145,Mitre 49
Cr. 60D # 90-04,Mendiguaca,4.68264128193475,-74.0690860790213,No VIS,14,Barrios Unidos,56146,Udara Entre Parques
Cr. 36A # 61-26,Nicolas de Federman,4.65130554221149,-74.080631577495,No VIS,6,Teusaquillo,56147,36 Avenida
Cl. 158 # 96A-36,Salitre,4.75629172161427,-74.0820804053477,No VIS,1,Suba,56156,Salitre Reservado
Cr. 72 # 21-11,La Felicidad,4.65626748836182,-74.1263105577296,No VIS,47,Fontibón,56157,La Felicidad - La Reserva
Cr. 72 # 21-11,La Felicidad,4.65626748836182,-74.1263105577296,No VIS,75,Fontibón,56158,La Felicidad - Los Pinos
Cr. 72 # 21-11,La Felicidad,4.65626748836182,-74.1263105577296,No VIS,45,Fontibón,56159,La Felicidad - Los Cerros
Cr. 72 # 21-11,La Felicidad,4.65626748836182,-74.1263105577296,No VIS,60,Fontibón,56160,La Felicidad - La Cima
Cl. 56 Sur # 81A-90,Villa Anita,4.61790000088513,-74.177899999544,VIS,13,Kennedy,56164,Bari Conj. Res.
Cl. 70ABis # 121A-04,San Lorenzo,4.71772028133372,-74.1365059427107,VIS,35,Engativá,56165,Mirador del Jaboque
Cr. 18 # 15-20,Centro,4.60795220532935,-74.0821031141647,No VIS,133,Los Mártires,56167,Torre Estacion
Cr. 18 # 14-04,Centro,4.60738854449348,-74.0824173757278,No VIS,28,Los Mártires,56168,Sabana Central
Av. Cl. 26 # 82-54,Los Monjes,4.67546718508856,-74.1158532998072,No VIS,38,Engativá,56169,Cantabria
Cr. 5 # 32-89,San Martin,4.61864712986358,-74.065858585266,No VIS,19,Santa Fe,56170,Tekto Museo
Cr. 16 # 58A-31,Galerias,4.64595370697636,-74.0678306982905,No VIS,3,Teusaquillo,56172,Tivoli
Cl. 23A # 96J-19,Fontibon,4.67680989920508,-74.1362557998843,No VIS,11,Fontibón,56179,Balzani
Cl. 79 # 76-31,Minuto de Dios,4.69721089455921,-74.0942587136364,No VIS,11,Engativá,56182,Portal Reservado
Cr. 1 # 8-20,La Candelaria,4.59234733138129,-74.0713803063414,No VIS,35,La Candelaria,56188,Ed. La Primera Candelaria
Cr. 15 # 49-51,Palermo,4.63714610501839,-74.0680944864195,No VIS,2,Teusaquillo,56190,KD Marly
Av. Cl. 26 # 70A-25,Ciudad Salitre,4.66540000028908,-74.1117000002414,No VIS,82,Fontibón,56195,Vissani Aptos
Cr. 81 # 77A-25,La Granja,4.69915414812582,-74.0983443972868,No VIS,9,Engativá,56196,Keisha
Cr. 25 # 24C-21,Centro,4.62160000018775,-74.0776000004262,No VIS,3,Los Mártires,56197,Cyan 26
Cl. 54 # 10-25,Chapinero Alto,4.64040568651863,-74.0643147609354,No VIS,5,Chapinero,56198,Smart Living 54
Cl. 79A # 90-29,Primavera Norte,4.70548628762351,-74.1050077166432,No VIS,47,Engativá,56203,Andora 80
Cl. 158 # 96A-77,Suba Salitre,4.75649374788785,-74.0829155668999,VIS,2,Suba,56207,Oka 96
Cl. 32 # 5-31,Centro,4.61774314800717,-74.0672058118299,No VIS,200,Santa Fe,56208,Arbos Central ..
Cl. 25B # 70B-70,Ciudad Salitre,4.66415557067871,-74.1118738874769,No VIS,142,Fontibón,56210,Gran Reserva de Mallorca
Cl. 18 # 4-22,Las Aguas,4.60276427599971,-74.07159887302,No VIS,155,Santa Fe,56211,Torre Ventto
Cr. 35A # 60-58,Nicolas de Federman,4.65080000087619,-74.0821000002325,No VIS,9,Teusaquillo,56212,Juan Pablo
Cr. 22A # 82-19,Polo Club,4.67004132987604,-74.0624034492389,No VIS,27,Barrios Unidos,56216,Edificio Praia
Cl. 19 # 96B-39,Villa Mar,4.66893798544831,-74.1396939417934,No VIS,13,Fontibón,90100,Asha 96
Cr. 18 # 140-34,Cedritos,4.72322793338819,-74.0446883508976,No VIS,13,Usaquén,90251,Montello
Cr. 7A # 146-89,Cedritos,4.72259769692765,-74.0271751736534,No VIS,106,Usaquén,90252,Menta
Cr. 70C # 52-96,Normandia,4.66832833534621,-74.1046704293905,No VIS,5,Engativá,90253,Mirador del Jardín
Cl. 127D # 71-43,Niza,4.71303716822715,-74.0761325700479,No VIS,17,Suba,90254,Senderos de Niza
Cl. 129 # 56C-02,Iberia,4.71724620387189,-74.066349987022,No VIS,19,Suba,90256,Renacer 129
Cl. 132A # 72-60,Gratamira,4.72607762269116,-74.0741771765678,No VIS,2,Suba,90257,Illium
Cl. 94 # 68D-26,Julio Flores,4.68802538148564,-74.0781738710919,No VIS,6,Suba,90258,Sorreto 94
Av. Cr. 86 # 10A-42,Castilla,4.64887782696101,-74.1448154715521,VIS,169,Kennedy,90260,Castilla Urbana
Cr. 63 # 103-65,Andes,4.69132589380595,-74.0670259023333,No VIS,13,Suba,90261,Mattiz 103
Cl. 128C # 55B-81,Prado Jardin,4.71583286680459,-74.0653034550531,No VIS,6,Suba,90262,Prado Reservado
Cl. 144 # 19A-09,Cedritos,4.72571603138936,-74.0470512555087,No VIS,7,Usaquén,90263,Artio 144
Cl. 51 # 73-57,Normandia,4.67112991187426,-74.1105901775427,No VIS,1,Engativá,90264,Viure 51
Dg. 128BBis # 56B-42,Iberia,4.71626877901277,-74.0663412662398,No VIS,5,Suba,90265,Altos del Prado
Cr. 50 # 144-56,Prado Pinzón,4.72774861555229,-74.0536937793215,No VIS,2,Suba,90266,Prado 144
Cl. 150 # 50-12,Sotavento,4.73578861695947,-74.0530062419195,No VIS,37,Suba,90267,Park Living *
Cl. 140 # 19A-36,Cedritos,4.72379070751063,-74.0476933069564,No VIS,27,Usaquén,90268,Ubik 140
Cr. 49 # 165-73,Granada Norte,4.74725777573302,-74.0503032183401,No VIS,3,Suba,90269,Palau 165
Cr. 23 # 142-52,Cedritos,4.72544069611294,-74.0494637415966,No VIS,9,Usaquén,90270,Ed. Bilbao
Cl. 136 # 50-43,Spring,4.72283651983361,-74.0559811498403,No VIS,13,Suba,90271,San Sebastián
Cl. 144 # 52-43,Prado Pinzón,4.72727651149435,-74.0552878664169,VIS,20,Suba,90272,Portal del Prado
Cl. 149 # 12D-44,Cedritos,4.72872103657426,-74.036348417022,No VIS,2,Usaquén,90273,La Zarzamora
Dg. 150 # 145-11,Fontanar del Río,4.7575629698325,-74.1155951726705,VIS,1,Suba,90274,Mirador del Parque
Cl. 144 # 19A-06,Cedritos,4.72613138479633,-74.0469638928834,No VIS,4,Usaquén,90275,Jerez Aptos.
Cl. 176 # 58-,Villa del Prado,4.75789121202612,-74.051405681033,VIS,7,Suba,90276,176 Park
Dg. 24C # 68-01,Salitre,4.65127020038467,-74.1063553846225,No VIS,16,Fontibón,90277,Rodin..
Av. Cr. 68 # 19-52,Puente Aranda,4.64319483636683,-74.1110801886182,No VIS,103,Puente Aranda,90278,Urban Salitre - Praga
Cl. 135 # 45A-42,Iberia,4.72146543945291,-74.0528960453474,No VIS,3,Suba,90282,Edificio Alcalá
Cl. 143 # 16-37,Cedritos,4.72428458642298,-74.0425418229869,No VIS,14,Usaquén,90283,Tramonto
Cr. 82 # 22F-04,Modelia,4.66583551450167,-74.1262635044016,No VIS,12,Fontibón,90284,Ed. Verona
Av. Cl. 13 # 68F-25,Alsacia,4.63903351937635,-74.1248392542005,No VIS,116,Kennedy,90286,La Terra Alsacia Reservado
Cl. 176 # 58-,Villa del Prado,4.75742825913446,-74.0524896180011,VIS,118,Suba,90287,Prado Park
Cl. 165 # 56A-45,Cantalejo,4.74722238437132,-74.0585191107687,No VIS,30,Suba,90288,Parque 165
Cr. 58C # 128A-44,Las Villas,4.71573609338115,-74.0714682132391,No VIS,8,Suba,90289,Villas del Parque
Cl. 128A # 51A-48,Niza,4.71563566850746,-74.0711714081395,No VIS,15,Suba,90290,Imbituba Aptos.
Cr. 99 # 156D-03,El Salitre,4.75631040394297,-74.0860698665391,VIS,109,Suba,90291,Zuri
Cl. 138 # 49-42,Prado Pinzón,4.72478362734468,-74.0544263573234,No VIS,22,Suba,90292,Parque 138
Cl. 176 # 52-05,Villa del Prado,4.75752965155045,-74.0504250477681,No VIS,11,Suba,90293,Entre Verde Club
Cl. 176 # 52-05,Villa del Prado,4.75752965155045,-74.0504250477681,VIS,31,Suba,90293,Entre Verde Club
Cl. 183 # 8D-25,San Antonio,4.76106088033864,-74.0307219934143,No VIS,139,Usaquén,90294,Edificio Uno.83 *
Cr. 94B # 130D-50,Costa Rica,4.72986799370722,-74.0907859874457,No VIS,9,Suba,90295,Costa Rica Aptos.
Cl. 170 # -,Alameda,4.75273322956796,-74.0343229346696,VIS,200,Usaquén,90296,Ciudad La Salle - Lyon
Cl. 149 # 48-53,Victoria Norte,4.7313780127831,-74.0525205685069,No VIS,23,Suba,90298,Balcones de Palo Alto
Cr. 49 # 144-46,Prado Pinzón,4.72738679241154,-74.0529513701105,No VIS,35,Suba,90299,Smart Habitat *
Cr. 96G Bis # 19-74,Villemar,4.67159673299528,-74.140165130545,No VIS,9,Fontibón,90300,Reservas de Villemar
Cr. 13 Este # 66-15 Sur,Juan Rey,4.52532056419295,-74.0896798114113,VIS,17,San Cristóbal,407013,Mirador del Virrey II
Cl. 4 Sur # 18-35,San Antonio,4.59106785336115,-74.0950099845455,No VIS,7,Antonio Nariño,407018,Ed. San Antonio
Cr. 12 Este # 64A-51,Valparaiso,4.52593507676655,-74.0901965948983,VIS,26,San Cristóbal,407022,Reserva del Cedro
Cl. 34 Sur # 52-44,El Ingles,4.60359395193611,-74.1285295801034,No VIS,4,Puente Aranda,407024,Mult. Alcala II
Cr. 24G # 14-44 Sur,Restrepo Occidental,4.59100626830019,-74.102636154914,No VIS,3,Antonio Nariño,407029,Vilanova IV
Cl. 28 Sur # 12-20 Este,San Cristobal Sur,4.56231068743643,-74.079783116156,VIS,90,San Cristóbal,407032,Reserva del Turpial
Cr. 7 0 # 7-24 Sur,Villa Javier,4.58144552534182,-74.0847626465347,No VIS,9,San Cristóbal,407035,Balcones de Oriente II
Cl. 31 Sur # 9-03 Este,Ramajal,4.55626097897358,-74.0833584299778,VIS,31,San Cristóbal,407041,Buenos Aires
Cl. 42Bis Sur # 12C-04,San Jorge,4.567659304611,-74.1134661436735,VIS,117,Rafael Uribe Uribe,407042,Alameda de San Jorge
Cr. 37 # 68C-61 Sur,Candelaria la Nueva,4.5685541916834,-74.1538383656312,VIS,8,Ciudad Bolívar,407043,Atacama
Cr. 2C Este # 61-17 Sur,La Fiscala,4.53621622852459,-74.1098557783548,VIS,7,Usme,407057,Ed. Thoor
Cl. 11 Sur # 1A-09,San Cristobal,4.57474332276988,-74.0821140628824,No VIS,14,San Cristóbal,407058,Santa Ana II
Cl. 11 Sur # 7-49,San Javier,4.5791043921463,-74.0872118171059,No VIS,4,San Cristóbal,407059,Santa Ana I
Cr. 10 # 19-33 Sur,Ciudad Jardin,4.57644041675661,-74.0944977966337,No VIS,50,Antonio Nariño,407061,Edif. Toledo
Cr. 24B # 13-27 Sur,Restrepo,4.58913963959606,-74.1011529301213,No VIS,8,Antonio Nariño,407062,Balcones de la Valvanera
Cr. 12B # 10-23 Sur,Ciudad Berna,4.58532336672986,-74.0925595996198,No VIS,2,Antonio Nariño,407063,Lumbi 12
Cl. 31 Sur # 27-34,Eduardo Frey,4.58901915333235,-74.1152414026271,No VIS,1,Antonio Nariño,407064,Ed. Marcela
Cr. 50B # 37A-21 Sur,Muzu,4.5982926750013,-74.1265047830687,No VIS,2,Puente Aranda,407065,Senderos del Río
Cl. 37 Sur # 51-50,Muzu,4.60011347722546,-74.1270412591903,No VIS,2,Puente Aranda,407066,Trezano
Cl. 31Bis Sur # 26D-06,Matatigres,4.58749775415154,-74.1155010302217,No VIS,16,Rafael Uribe Uribe,407067,Torre Riovista
Dg. 48B Sur # 5L-80,Molinos,4.55989073366433,-74.1118610082921,VIS,72,Rafael Uribe Uribe,407072,Novo Molinos
Cl. 10 Sur # 15-36,San Antonio,4.58815483147875,-74.0952747144072,No VIS,9,Antonio Nariño,407073,Ed. Jans III
Cl. 26 Sur # 20-28,Olaya,4.58259157081162,-74.107072956521,No VIS,19,Rafael Uribe Uribe,407076,Solario del Parque
Cl. 60A Sur # 73-40,Galicia,4.59211631811992,-74.1694856937129,VIS,95,Ciudad Bolívar,407084,Bilbao Aptos
Cl. 36A Sur # 10B-40 Este,Ramajal,4.55542059250837,-74.0827937738255,VIS,88,San Cristóbal,407085,Mirador de la Reserva
Cr. 2Este # 6C-22 Sur,Buenos Aires,4.57742006300587,-74.07895192267,VIS,153,San Cristóbal,407089,Torres del Este Aptos.
Cr. 8 # 22B-52 Sur,20 de Julio,4.57286506242891,-74.0941489588519,No VIS,17,San Cristóbal,407092,Ed. Manantial
Cl. 39 Sur # 36-50,Ingles,4.59402892845387,-74.1248046404222,VIS,9,Puente Aranda,407093,Ed. Liverpool
Cl. 47A Sur # 29-38,Claret,4.58446962813847,-74.1303626980364,No VIS,17,Rafael Uribe Uribe,407094,Claret Real II
Cr. 24 # 35a-49 Sur,Quiroga,4.58187180287488,-74.1185399431609,No VIS,6,Rafael Uribe Uribe,407095,Ed. Quiroga
Cl. 35 Sur # 52-82,Alcala,4.603469866893,-74.1290361174772,No VIS,3,Puente Aranda,407096,Domus 35-S
Cl. 70 Sur # 11C-60 Este,Juan Rey,4.52455840966,-74.0920362707425,VIS,1,San Cristóbal,407097,Poblado de Juan Rey 7
Cl. 73A Sur # 13C-42 Este,Juan Rey,4.51823410337198,-74.0916482030142,VIS,30,San Cristóbal,407098,Juan Rey 74
